,snow_accume_24_hour_set_1,date_time,precip_accum_24_hour_set_1,snow_depth_set_1,_meta_station_id,_meta_elevation,_meta_longitude,_meta_latitude
0,0.0,2018-08-01 23:00:00,0.0,0.0,COOPADNC1,4195,-120.95,41.20
1,0.0,2018-08-02 23:00:00,0.0,0.0,COOPADNC1,4195,-120.95,41.20
2,0.0,2018-08-03 23:00:00,0.0,0.0,COOPADNC1,4195,-120.95,41.20
3,0.0,2018-08-04 23:00:00,0.0,0.0,COOPADNC1,4195,-120.95,41.20
4,0.0,2018-08-05 23:00:00,0.0,0.0,COOPADNC1,4195,-120.95,41.20
5,0.0,2018-08-06 23:00:00,0.0,0.0,COOPADNC1,4195,-120.95,41.20
6,0.0,2018-08-07 23:00:00,0.0,0.0,COOPADNC1,4195,-120.95,41.20
7,0.0,2018-08-08 23:00:00,0.0,0.0,COOPADNC1,4195,-120.95,41.20
8,0.0,2018-08-09 23:00:00,0.0,0.0,COOPADNC1,4195,-120.95,41.20
9,0.0,2018-08-10 23:00:00,0.0,0.0,COOPADNC1,4195,-120.95,41.20
10,0.0,2018-08-11 23:00:00,0.0,0.0,COOPADNC1,4195,-120.95,41.20
11,0.0,2018-08-12 23:00:00,0.0,0.0,COOPADNC1,4195,-120.95,41.20
12,0.0,2018-08-13 23:00:00,0.0,0.0,COOPADNC1,4195,-120.95,41.20
13,0.0,2018-08-14 23:00:00,0.0,0.0,COOPADNC1,4195,-120.95,41.20
