,date_time,weather_condition_set_1d,air_temp_low_24_hour_set_1,air_temp_high_24_hour_set_1,past_weather_code_set_1,snow_depth_set_1,snow_accume_24_hour_set_1,weather_cond_code_set_1,precip_accum_24_hour_set_1,air_temp_set_1,_meta_station_id,_meta_elevation,_meta_longitude,_meta_latitude
0,2018-08-01 00:00:00,Drizzle,12.78,37.22,4.0,0.0,0.0,2.0,0.0,36.67,COOPWEAC1,2040,-122.94,40.73
1,2018-08-02 00:00:00,Hail,11.67,37.78,4.0,0.0,0.0,4.0,0.0,36.11,COOPWEAC1,2040,-122.94,40.73
2,2018-08-03 00:00:00,Rain,10.56,36.67,0.0,,0.0,1.0,0.0,35.0,COOPWEAC1,2040,-122.94,40.73
3,2018-08-04 00:00:00,Rain,8.89,35.0,0.0,0.0,0.0,1.0,0.0,32.78,COOPWEAC1,2040,-122.94,40.73
4,2018-08-05 02:00:00,Rain,9.44,32.78,0.0,0.0,0.0,1.0,0.0,27.22,COOPWEAC1,2040,-122.94,40.73
5,2018-08-07 00:00:00,Rain,8.89,36.11,0.0,0.0,0.0,1.0,0.0,35.56,COOPWEAC1,2040,-122.94,40.73
6,2018-08-08 00:00:00,Hail,10.56,35.56,4.0,0.0,0.0,4.0,0.0,35.0,COOPWEAC1,2040,-122.94,40.73
7,2018-08-09 03:00:00,Hail,11.11,36.11,4.0,0.0,0.0,4.0,0.0,28.33,COOPWEAC1,2040,-122.94,40.73
8,2018-08-10 00:00:00,Hail,12.78,37.22,4.0,0.0,0.0,4.0,0.0,36.11,COOPWEAC1,2040,-122.94,40.73
9,2018-08-12 00:00:00,Rain,15.0,36.11,0.0,0.0,0.0,1.0,0.0,36.11,COOPWEAC1,2040,-122.94,40.73
10,2018-08-13 00:00:00,Hail,10.56,37.22,4.0,0.0,0.0,4.0,0.0,35.56,COOPWEAC1,2040,-122.94,40.73
11,2018-08-14 00:00:00,Hail,11.67,36.67,1.0,0.0,0.0,4.0,0.0,35.56,COOPWEAC1,2040,-122.94,40.73
12,2018-08-16 00:00:00,Hail,11.11,37.22,0.0,0.0,0.0,4.0,0.0,36.67,COOPWEAC1,2040,-122.94,40.73
13,2018-08-17 00:00:00,Hail,11.11,37.22,0.0,0.0,0.0,4.0,0.0,35.56,COOPWEAC1,2040,-122.94,40.73
14,2018-08-18 00:00:00,Hail,9.44,37.22,4.0,0.0,0.0,4.0,0.0,36.11,COOPWEAC1,2040,-122.94,40.73
15,2018-08-19 00:00:00,Hail,9.44,37.78,4.0,0.0,0.0,4.0,0.0,37.22,COOPWEAC1,2040,-122.94,40.73
